name, sec_per_longdegree, semiminorA, meanmotion, semimajorA, eccentricity
COSMO-Skymed 3, 16.167779268704823, 6993.49998212626, 0.0010795108115885018, 6993.5, 7.15e-05
COSMO-Skymed 4, 16.167779268704823, 6993.49998212626, 0.0010795108115885018, 6993.5, 7.15e-05
CP-10, 15.913570929096604, 6919.157174107263, 0.0010967552535949957, 6920.0, 0.0156
Cryosat-2, 16.501822553415785, 7089.497866562906, 0.0010576584776286156, 7089.5, 0.000776
CSSWE, 16.21114543439004, 7004.262987638314, 0.0010766230301603602, 7006.0, 0.0223
Cubebug 1  , 16.233711138513037, 7012.490570403642, 0.0010751264680653894, 7012.5, 0.00164
Cubebug 2, 16.278873923965033, 7025.239497696858, 0.0010721437245268747, 7025.5, 0.00861
Cubesat XI-IV, 16.866263244660647, 7193.496090219275, 0.0010348049397052121, 7193.5, 0.0010400000000000001
CUSat-1, 17.123653030854314, 7244.14881128211, 0.001019250535414086, 7266.5, 0.0784
Daichi-2, 16.20246910383538, 7003.499553794517, 0.001077199555703015, 7003.5, 0.000357
DAMPE, 15.73281749068688, 6867.4947397140395, 0.0011093558118420211, 6867.5, 0.00124
DCBB, 15.830855388378351, 6895.991226792563, 0.0011024857527759365, 6896.0, 0.0016
Deimos 1, 16.30320966463491, 7032.499982225382, 0.0010705433395611144, 7032.5, 7.11e-05
Deimos 2, 16.11752305039413, 6978.991331130882, 0.001082876845615338, 6979.0, 0.00158
Delfi-C3, 16.114059027107405, 6977.994196042298, 0.0010831096305768152, 6978.0, 0.0012900000000000001
DirecTV-10, 239.28792049474504, 42157.499973314356, 7.293846042816265e-05, 42157.5, 3.5600000000000005e-05
DirecTV-11, 239.28366347266734, 42157.0, 7.293975805388373e-05, 42157.0, 0.0
DirecTV-12, 239.27940647583463, 42156.49999703486, 7.294105571808137e-05, 42156.5, 1.1900000000000001e-05
DirecTV-14, 240.52352149489747, 42302.49997340583, 7.256376595298417e-05, 42302.5, 3.5499999999999996e-05
DirecTV-15, 238.9516935422141, 42117.954366279475, 7.304109153283708e-05, 42118.0, 0.00147
DirecTV-1R, 239.28792049474504, 42157.49914309434, 7.293846042816265e-05, 42157.5, 0.000202
DirecTV-4S, 239.28366347266734, 42156.999573024645, 7.293975805388373e-05, 42157.0, 0.00014199999999999998
DirecTV-5, 239.28366347266734, 42156.99799558787, 7.293975805388373e-05, 42157.0, 0.000308
DirecTV-7S, 239.27940647583463, 42156.49843143996, 7.294105571808137e-05, 42156.5, 0.000273
